time,temperature,humidity,pressure
2014-02-13T06:20:00,3,93,989
2014-02-13T13:50:00,7,66,989
2014-02-13T06:00:00,2,91,990
2014-02-13T03:00:00,3,84,992
2014-02-13T13:00:00,6,62,990
2014-02-13T18:50:00,4,75,991
2014-02-13T13:20:00,6,70,990
2014-02-13T15:00:00,6,56,990
2014-02-13T08:50:00,4,87,989
2014-02-13T21:50:00,4,75,993
2014-02-13T08:00:00,3,88,990
2014-02-13T07:50:00,3,93,989
2014-02-13T08:20:00,4,87,989
2014-02-13T21:20:00,3,81,993
2014-02-13T11:50:00,6,76,990
2014-02-13T11:20:00,6,76,990
2014-02-13T17:50:00,5,70,991
2014-02-13T11:00:00,6,69,990
2014-02-13T05:50:00,2,93,989
2014-02-13T20:50:00,3,81,993
2014-02-13T20:20:00,4,75,992
2014-02-13T16:00:00,6,55,990
2014-02-13T23:50:00,2,87,994
2014-02-13T21:00:00,3,73,993
2014-02-13T07:20:00,3,93,989
2014-02-13T03:20:00,3,87,991
2014-02-13T07:00:00,3,86,990
2014-02-13T15:50:00,6,66,990
2014-02-13T03:50:00,2,93,990
2014-02-13T04:00:00,2,87,991
2014-02-13T12:00:00,6,66,990
2014-02-13T04:20:00,2,93,990
2014-02-13T12:20:00,6,76,990
2014-02-13T12:50:00,6,76,989
2014-02-13T22:50:00,3,81,994
2014-02-13T09:00:00,4,85,990
2014-02-13T09:20:00,4,87,989
2014-02-13T09:50:00,4,87,989
2014-02-13T18:00:00,5,62,992
2014-02-13T05:20:00,2,93,990
2014-02-13T15:20:00,6,70,989
2014-02-13T00:50:00,4,75,993
2014-02-13T14:50:00,7,66,989
2014-02-13T00:00:00,4,66,995
2014-02-13T00:20:00,4,75,994
2014-02-13T06:50:00,3,93,989
2014-02-13T22:00:00,4,72,994
2014-02-13T18:20:00,5,70,991
2014-02-13T02:50:00,3,87,991
2014-02-13T02:20:00,3,87,992
2014-02-13T04:50:00,2,93,990
2014-02-13T02:00:00,3,73,993
2014-02-13T23:00:00,3,71,994
2014-02-13T16:50:00,5,70,990
2014-02-13T19:50:00,4,75,992
2014-02-13T19:20:00,4,75,992
2014-02-13T05:00:00,2,89,990
2014-02-13T19:00:00,4,67,992
2014-02-13T23:20:00,3,81,994
2014-02-13T14:20:00,7,66,989
2014-02-13T10:20:00,5,81,989
2014-02-13T10:00:00,4,82,990
2014-02-13T10:50:00,5,81,989
2014-02-13T17:00:00,5,60,991
2014-02-13T01:00:00,4,65,994
2014-02-13T17:20:00,5,70,991
2014-02-13T01:20:00,4,75,993
2014-02-13T01:50:00,4,75,993
2014-02-13T22:20:00,3,81,993
2014-02-13T16:20:00,6,66,990
2014-02-14T04:50:00,1,87,997
2014-02-14T09:50:00,4,87,1000
2014-02-14T12:20:00,6,81,1001
2014-02-14T09:00:00,3,89,1000
2014-02-14T16:20:00,6,76,1002
2014-02-14T09:20:00,3,93,999
2014-02-14T19:00:00,4,76,1003
2014-02-14T07:20:00,2,93,998
2014-02-14T06:50:00,2,93,998
2014-02-14T13:20:00,5,87,1002
2014-02-14T10:00:00,4,82,1000
2014-02-14T21:50:00,4,81,1001
2014-02-14T07:50:00,2,93,998
2014-02-14T19:20:00,3,87,1002
2014-02-14T14:50:00,6,76,1002
2014-02-14T14:20:00,6,81,1002
2014-02-14T04:00:00,1,86,997
2014-02-14T14:00:00,6,72,1002
2014-02-14T23:00:00,3,76,1000
2014-02-14T22:20:00,4,81,1000
2014-02-14T13:00:00,6,72,1002
2014-02-14T06:00:00,2,89,998
2014-02-14T19:50:00,4,81,1003
2014-02-14T08:00:00,2,87,999
2014-02-14T08:20:00,2,93,999
2014-02-14T08:50:00,3,93,999
2014-02-14T11:20:00,5,81,1001
2014-02-14T20:50:00,3,87,1003
2014-02-14T05:00:00,1,86,997
2014-02-14T15:20:00,6,76,1002
2014-02-14T05:20:00,1,93,997
2014-02-14T15:00:00,6,67,1002
2014-02-14T07:00:00,2,91,998
2014-02-14T15:50:00,6,76,1002
2014-02-14T21:20:00,3,87,1002
2014-02-14T17:00:00,5,67,1003
2014-02-14T22:50:00,3,87,1000
2014-02-14T17:20:00,5,76,1003
2014-02-14T17:50:00,5,76,1003
2014-02-14T04:20:00,1,93,996
2014-02-14T01:50:00,1,93,995
2014-02-14T22:00:00,4,77,1001
2014-02-14T01:00:00,2,82,995
2014-02-14T06:20:00,2,93,997
2014-02-14T01:20:00,1,93,995
2014-02-14T20:20:00,4,81,1003
2014-02-14T02:20:00,1,93,995
2014-02-14T02:00:00,1,86,996
2014-02-14T16:00:00,6,70,1003
2014-02-14T02:50:00,1,93,996
2014-02-14T10:50:00,5,81,1001
2014-02-14T18:20:00,4,81,1002
2014-02-14T18:00:00,4,74,1003
2014-02-14T03:50:00,1,93,996
2014-02-14T03:20:00,1,87,996
2014-02-14T23:20:00,3,87,1000
2014-02-14T03:00:00,1,84,996
2014-02-14T12:50:00,6,76,1002
2014-02-14T16:50:00,5,81,1003
2014-02-14T13:50:00,6,81,1002
2014-02-14T11:50:00,5,87,1001
2014-02-14T23:50:00,3,87,999
2014-02-14T12:00:00,6,75,1002
2014-02-14T20:00:00,4,79,1003
2014-02-14T00:00:00,2,76,994
2014-02-14T00:20:00,2,81,994
2014-02-14T00:50:00,1,87,994
2014-02-14T05:50:00,2,93,997
2014-02-14T18:50:00,4,81,1002
2014-02-15T06:50:00,4,87,989
2014-02-15T10:20:00,6,81,988
2014-02-15T06:00:00,4,80,990
2014-02-15T06:20:00,4,87,989
2014-02-15T01:00:00,3,74,998
2014-02-15T08:20:00,4,87,988
2014-02-15T08:00:00,4,77,989
2014-02-15T13:50:00,7,81,988
2014-02-15T13:20:00,7,81,988
2014-02-15T01:50:00,4,75,996
2014-02-15T13:00:00,7,73,988
2014-02-15T04:50:00,4,81,990
2014-02-15T04:20:00,4,81,991
2014-02-15T02:50:00,4,75,994
2014-02-15T04:00:00,4,75,992
2014-02-15T14:00:00,7,70,988
2014-02-15T09:00:00,4,78,988
2014-02-15T03:00:00,4,68,995
2014-02-15T16:00:00,9,49,988
2014-02-15T14:50:00,9,62,988
2014-02-15T12:50:00,7,81,988
2014-02-15T23:00:00,7,61,988
2014-02-15T12:20:00,7,81,988
2014-02-15T10:00:00,6,74,988
2014-02-15T20:20:00,8,62,988
2014-02-15T00:50:00,3,81,997
2014-02-15T10:50:00,6,81,988
2014-02-15T15:50:00,9,62,988
2014-02-15T08:50:00,4,87,988
2014-02-15T21:50:00,8,62,988
2014-02-15T07:00:00,4,80,989
2014-02-15T23:50:00,7,71,987
2014-02-15T07:20:00,4,87,988
2014-02-15T07:50:00,4,87,988
2014-02-15T14:20:00,8,71,988
2014-02-15T22:20:00,8,66,988
2014-02-15T11:50:00,7,76,988
2014-02-15T22:00:00,8,53,988
2014-02-15T17:50:00,8,66,988
2014-02-15T11:00:00,6,72,988
2014-02-15T16:20:00,9,62,988
2014-02-15T11:20:00,6,81,988
2014-02-15T00:20:00,3,87,999
2014-02-15T00:00:00,3,76,
2014-02-15T19:00:00,8,48,988
2014-02-15T21:00:00,8,50,988
2014-02-15T03:50:00,4,81,992
2014-02-15T17:00:00,8,51,988
2014-02-15T22:50:00,7,71,987
2014-02-15T18:00:00,8,53,988
2014-02-15T18:20:00,8,62,988
2014-02-15T18:50:00,8,62,988
2014-02-15T01:20:00,4,75,996
2014-02-15T15:00:00,9,47,988
2014-02-15T05:20:00,4,87,990
2014-02-15T15:20:00,9,58,988
2014-02-15T05:00:00,4,74,990
2014-02-15T20:50:00,8,62,988
2014-02-15T05:50:00,4,87,990
2014-02-15T02:00:00,4,70,996
2014-02-15T02:20:00,4,75,995
2014-02-15T12:00:00,7,68,989
2014-02-15T21:20:00,8,62,988
2014-02-15T17:20:00,8,66,988
2014-02-15T16:50:00,9,62,988
2014-02-15T23:20:00,7,71,987
2014-02-15T03:20:00,4,81,993
2014-02-16T03:00:00,5,79,987
2014-02-16T15:00:00,5,78,994
2014-02-16T03:20:00,6,81,987
