Month,Day,Hour,Humidity,Temperture,Pressure
2,13,6,3.0,93,989
2,13,13,7.0,66,989
2,13,6,2,91,990
2,13,3,3,84,992
2,13,13,6,62,990
2,13,18,4.0,75,991
2,13,13,6.0,70,990
2,13,15,6,56,990
2,13,8,4.0,87,989
2,13,21,4.0,75,993
2,13,8,3,88,990
2,13,7,3.0,93,989
2,13,8,4.0,87,989
2,13,21,3.0,81,993
2,13,11,6.0,76,990
2,13,11,6.0,76,990
2,13,17,5.0,70,991
2,13,11,6,69,990
2,13,5,2.0,93,989
2,13,20,3.0,81,993
2,13,20,4.0,75,992
2,13,16,6,55,990
2,13,23,2.0,87,994
2,13,21,3,73,993
2,13,7,3.0,93,989
2,13,3,3.0,87,991
2,13,7,3,86,990
2,13,15,6.0,66,990
2,13,3,2.0,93,990
2,13,4,2,87,991
2,13,12,6,66,990
2,13,4,2.0,93,990
2,13,12,6.0,76,990
2,13,12,6.0,76,989
2,13,22,3.0,81,994
2,13,9,4,85,990
2,13,9,4.0,87,989
2,13,9,4.0,87,989
2,13,18,5,62,992
2,13,5,2.0,93,990
2,13,15,6.0,70,989
2,13,0,4.0,75,993
2,13,14,7.0,66,989
2,13,0,4,66,995
2,13,0,4.0,75,994
2,13,6,3.0,93,989
2,13,22,4,72,994
2,13,18,5.0,70,991
2,13,2,3.0,87,991
2,13,2,3.0,87,992
2,13,4,2.0,93,990
2,13,2,3,73,993
2,13,23,3,71,994
2,13,16,5.0,70,990
2,13,19,4.0,75,992
2,13,19,4.0,75,992
2,13,5,2,89,990
2,13,19,4,67,992
2,13,23,3.0,81,994
2,13,14,7.0,66,989
2,13,10,5.0,81,989
2,13,10,4,82,990
2,13,10,5.0,81,989
2,13,17,5,60,991
2,13,1,4,65,994
2,13,17,5.0,70,991
2,13,1,4.0,75,993
2,13,1,4.0,75,993
2,13,22,3.0,81,993
2,13,16,6.0,66,990
2,14,4,1.0,87,997
2,14,9,4.0,87,1000
2,14,12,6.0,81,1001
2,14,9,3,89,1000
2,14,16,6.0,76,1002
